No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
							
637	83574718	86873201	0	0	0	1	"observed heterogeneity at the voter level inducing longitudinal dependence within voters. We note in passing that models akin to M2(a) have attracted considerable interest in political science (e.g., =-=Rivers, 1988-=-). Third, we introduce latent variables only at the constituency level in M3(a), M3(b) and M3(c), and see that the fit is once more improved. Importantly, latent variables at a given level will not on"
							
639	14602337	13609269	0	1	0	0	"omplete specification. The model was intended as a high-level abstraction of the electrical system, which included only the logic necessary to accomplish the goals of a wider airplane system analysis =-=[7]-=-. We focus on the portion of the statecharts that models the main and backup AC distribution subsystems; other subsystems were abstracted away manually. There are 33 two-state machines, 23 Boolean inp"
							
640	23585917	22555682	0	0	0	1	"hol [97] or methanol-water mixtures [98], dried with a supercritical CO technique [99], or dried by evaporation with the meniscus shaped by small features added to the perimeter of the microstructure =-=[100]-=- or by coating the released microstructures with hydrophobic selfassembling monolayer (SAM) films prior to removal from the aqueous stage [101]. Alternatively, a portion of the oxide layer can be subs"
							
641	31002797	30278480	0	1	0	0	"-analytical ideas and numerical comparisons (chapters 3 and 10). The second is based on a method previously developed for the analysis of responses to linguistic stimuli and uses the Kappa statistic (=-=Krippendorff, 1980-=-), quantifying the degree of consistency within and between listeners (chapter 4). This method has not been used previously in musical contexts and is here adapted and developed for it. As the same me"
							
642	68620765	69690999	0	0	0	1	"(h), and (i). The solid, dashed, dash-dotted, and dotted curves are corresponding to the results for the 4 options of Collins function respectively. The experimental data are given by the E704 Group =-=[12]-=- with the data than both the quark-diquark model and the pQCD based analysis, as shown in Fig. 2. This might suggest that the d-quark transversity distributions is more negatively polarized than predi"
							
644	84986451	88553969	0	0	1	0	son for developing a new method used for position localization is that the traditional wireless methods used for object positioning such as GPS work only 2outside and require a clear view of the sky =-=[1]-=-. In current industrial deployment of robots most installations use a specialized network of electronic sensors or magnetic guidance systems built into the building. This approach is very expensive an
							
646	99516774	107487853	0	1	0	0	"a check of factorization ansatz. As for the energy dependence, a scaling property of the eikonal model allows us to include it into Aab(b). Indeed, by a simple change of variables, it is easy to see =-=[23]-=- that one can rewrite the above expression in such a way that mathematically the expression for the cross-section in eq.(2) depends only on the combination Aab/P had ab . This helps us reduce the numb"
							
647	28807390	28099525	0	0	1	0	"ocols for secure communication have been studied in depth. In some cases, attacks have been found on old, seemingly robust protocols, and these protocols have been corrected [Denning and Sacco, 1981; =-=Lowe, 1996-=-; Wagner and Schneier, 1996]; in other cases, the security guarantees of those protocols have been found to be misunderstood, and they have been clarified and sometimes even formal6ized and proved [A"
							
648	33544002	33405073	0	0	1	0	"Many of these publications were far reaching and somewhat visionary. The LCS framework predated and inspired the now well-established reinforcement learning field (Kaelbling, Littman, & Moore, 1996; =-=Sutton & Barto, 1998-=-). The bucket-brigade algorithm, originally used in LCSs, is very similar to other temporal difference learning techniques such as TD(?) or SARSA (Sutton & Barto, 1998). The ambitious scenarios and th"
							
649	30429774	29745869	0	0	1	0	"9] introduce the concept of codingaware routing and formulate the max-flow LP with coding considerations, however, their work is a centralized approach and assumes perfect link-scheduling. Authors of =-=[11]-=- propose a complex optimization framework for adaptive coding and scheduling. Authors of [12] study limitations of COPE under practical physical layer and link-scheduling algorithms, propose the conce"
							
650	51216033	51406767	1	0	0	0	"d center refinement in Sec. 3.2 respectively. NI is the total number of iterations. Let M denote the number of pixels on an image. The complexity of the fast marching can be decreased to roughly O(M) =-=[38]-=-. It can be also proven that Tcenter is O(M), since the center refinement can be achieved by a single scan of all pixels on an image. Thus, the complexity of the whole algorithm becomes O(MNI). Our ex"
							
651	129577259	147118589	0	0	0	1	"passive students, or actively engaging students insconstructing their own understanding). Thus, the beliefs that Dr. Garcia articulated can define thesproblem space in which he approached this task (=-=McAlpine et al., 2006-=-). In particular, his beliefssthat students must have a "
							
652	9558106	9046910	0	0	1	0	"accordance with PGM, our execution model requires all of the input queues to a node to be over threshold before the node is eligible for execution. Standard practice in implementing dataflow systems (=-=[8, 12, 15]-=-), though not part of the PGM specification, is to disallow two overlapping executions of the same node; we have adopted this restriction. PGM also requires that data be read from an input queue at th"
							
653	58535718	59286301	0	0	1	0	"ier on Neg, and take the correct classified examples out of Neg. IV. COMBINING HOG AND HAAR DESCRIPTORS USING GENERALIZED MKL A. Generalized MKL The objective of multiple kernel learning described in =-=[12]-=- is to create a kernel which is a combination of given base kernels and thus is the optimal descriptor. The optimal kernel is approximated as Kopt = ? k dkKk where d corresponds to the trade-off among"
							
655	8556510	8139677	1	0	0	0	"MZ n\\Gammam+1 j ); Z n+1 i = y n + h s X j=1 b ij (LY n+1 j + MZ n\\Gammam+1 j ); y n+1 = y n + h s X j=1 b j (LY n+1 j + MZ n\\Gammam+1 j ): (2.4) The Runge-Kutta method for DDEs is stable (In 't Hout =-=[3, 4]-=-) at (X; Y ) if the numerical solution (2.4) of (2.1) satisfies y n ! 0 and Z n+1 i ! 0 as n ! 1 for i = 1; 2; : : : ; s, whenever hL = X and hM = Y . The stability region P is the set of pairs of mat"
							
656	77649803	79777352	0	0	1	0	"lay, jitter, and packet loss. Measuring the one-way delay is rather difficult because either a clock synchronization using GPS, or an alternative approach like Adaptive per Hop Differentiation (APHD) =-=[24]-=- is required. In our simulation environment, we consider a delay smaller than 150 ms as desirable, but still accept delays of up to 400 ms as recommended in the ITU-T G.114 [25] standard. The second p"
							
657	7219050	6906128	0	0	1	0	"that relates problem size to the processing power required to ensure a proportional rate of speedup. To improve scalability, we may consider a scheme such as that used in QuickSilver's OBJ interface =-=[56]-=-, which packs as much information as possible into each network message, thus reducing the total number of messages. Many other issues remain to be considered. Authentication and security, for example"
							
658	146960102	165449961	0	0	0	1	"n mechanisms (e.g., Drury 1983, Blandford & Eichler 1987), shock drift acceleration (e.g., Kirk 2000, Reville & Kirk 2010), magnetohydrodynamical instabilities (e.g., Komissarov & Lyubarsky 2004, Del =-=Zanna et al. 2004-=-, Camus et al. 2009, Komissarov & Lyutikov 2010), ion-driven acceleration (e.g., Arons 2008). The data presented here contribute in a substantial way to a step further in deepening our understanding o"
							
659	140988956	160526066	0	0	0	1	"Wigner-Weisskopf approximation, to deal with non-hermitian Lagrangians suitable for unstable particles, and to deduce general constraints cast by discrete symmetries. This method was then refined in =-=[1]-=-, still in the case of neutral kaons. 3Results concerning mixing at the quantum level have been obtained, by less general techniques, in [7], [8] and [9]. 1 The transition amplitude between two fermio"
							
661	97971515	105379412	0	0	1	0	"awing. A common requirement for such drawings is to guarantee a small size of the integer grid [8]. One classical algorithm for drawing triangulations, or maximal planar graphs, was given by Schnyder =-=[15]-=- and is based on labelings of the angles of a triangulation on n vertices, leading to a drawing on the (n?2)"
							
662	117325181	131387272	0	0	1	0	"rbulence models. Prediction methods that allow the acoustic output of the un-represented scales to be estimated and combined with the acoustic output of the scales captured in LES are being developed =-=[123,126]-=-. In this connection the theoretical scalings for the high-frequency noise spectra from isotropic turbulence [127,128] should be mentioned. A recent study of decaying isotropic turbulence [129] shows "
							
663	149689570	168256451	0	0	0	1	"urrent methods used for preserving type Saprolegnia species do not guarantee, neither preserving the specific morphological data, nor their use for DNA analyses, or both (e.g., Saprolegnia australis) =-=[47]-=-. So far, the majority of holotypes in Saprolegnia and related genera are not suitable for morphological or molecular comparisons, and basically consists of illustrations from specimens, which are not"
							
667	10396222	9799918	1	0	0	0	"daries, and shown that the result depends significantly on the shape of the boundary. 1.3 Techniques The algorithms mentioned above are all based on a Monte Carlo procedure due to Jerrum and Sinclair =-=[20, 38]-=-, originally inspired by the approach of Broder [3], for approximating the number of matchings in a graph. A matching in a 2m-vertex graph G = (V; E) is any subset M of the edge set E such that no two"
							
668	2604052	2472688	0	0	1	0	"cations are the solution of partial differential equations (e.g. Pythia (Weerawarana et al., 1996), Pythia-II (Houstis et al., 2000)), but similar ideas have also been applied e.g. to option pricing (=-=Verykios et al., 2001-=-). Most typically the PSEs are applied to areas where the solutions are difficult. In these areas multiple algorithms with different strengths are available and one of the key difficulties is to selec"
							
669	121277873	136331121	1	0	0	0	"derate sample sizes (e.g. n = 1000) and a small number of predictors our model runs in a few minutes. To analyze the birth data set, which has 565,703 observations, we used graphics processing units (=-=Zhou et al., 2010-=-). The likelihood is embarrassingly parallel, so we ran our model on a graphics processing unit with 400 arithmetic cores. For a likelihood evaluation of 100,000 observations we attained a better than"
							
670	64131067	65322653	0	0	0	1	"mary effector cells rapidly disappear as a result of apoptosis or other mechanisms (30). To determine whether this is the case, we stimulated immune splenocytes nonspecifically with the mitogen Con A =-=(37)-=- and tested responders 5 days later with CTL and ELISPOT assays for their peptide specificity. As shown in Figure 3, a and b, mitogenic stimulation of immune splenocytes expands epitope-specific T cel"
							
671	6172141	5954379	0	0	0	1	"nsive, i.e. $10,000 and up, since they require a high voltage power source, a high power laser, and very fine machining of the laser cavity and mirrors. A typical RLG assembly is shown in Figure 3.5 (=-=Savage 1978-=-). Mirror Photodiodes Laser Beams Cathode Prism Partial Mirror Anode Anode Mirror Figure 3.5 Ring Laser Gyro (Mark et al. 1991) The figure shows an interferometric method of measuring the rotation. Th"
							
672	11451349	10748378	0	0	1	0	"al fiber is fixed, and the objective is to minimize the total number of used optical fibers in the network. This problem is formulated as the Path Multicoloring problem by Christos, Aris, and Stathis =-=[47]-=-. They presented algorithms for chains, rings, and stars. For ring networks, no matter whether routing is pre-specified or not, the problem is NP-complete. A 2-approximation algorithm was given in [47"
							
675	161682983	181723893	0	0	0	1	"can acquire resistance is by changes in a gene of the route of action of the drug, i.e. mutation. Adaptive mutations are those that enable a cell to adapt to a growth-limiting (stressful) environment =-=[6]-=-. Several adaptive mutation mechanisms are used by bacteria to acquire resistance to various antibiotics [1,2,4], including the SOS or the RpoScontrolled stress responses. Data about adaptive mutation"
							
676	198808741	235057276	0	0	0	1	"(14) software packages. Other applications focus on performing inverse RNA folding, to produce nucleotide configurations for a given secondary structure, regardless of any gene, such as the RNAexinv =-=(15)-=-, INFO-RNA (16) and RNA-SSD (17) tools. However, no method can yet perform the process of obtaining an mRNA sequence that maintains the polypeptide primary structure and achieves minimal secondary str"
							
682	16587078	15483925	0	0	1	0	"d learning (regression) where properties need to be learned from the observed continuous labeled sample. A great deal of effort has gone into developing estimators of the underlying regression model (=-=Bishop, 1995-=-; Vapnik, 1998; Suykens et al., 2002), while the task of estimation of properties of the residuals has often been ignored. However, estimation of the noise variance is also important on its own as it "
							
683	70039687	70887850	0	0	0	1	"many other medications that are associated with decreased sexual responses. Medications suchAdvances in Urology 3 Table 1: Associated factors studies. Study Population Method Results Mao et al. 2009 =-=[16]-=- Trotta et al. 2008 [12] Bouhnik et al. 2008 [17] Crum-Cianflone et al. 2007 [18] Asboe et al. 2007 [19] Guaraldi et al. 2007 [20] Richardson et al. 2006 [21] Cove and Petrak, 2004 [3] Lamba et al. 20"
							
684	6933389	6639066	0	0	1	0	"ese papers led to a large number of results on matrix completion problems for patterns in recent years, including inverse M-matrices [JS1], [JS2], [Ho1], [Ho3], M-matrices 1s2 [Ho2], P-matrices [JK], =-=[DH]-=-, and classes defined by sign symmetry and positivity conditions on P0-matrices [FJTU]. Although these papers use many of the same techniques, the terminology varies, with the same property or constru"
							
685	117325002	131387168	0	0	0	1	"Different proposals exist in literature on the effects of jet temperature, and how they should be modeled in a jet noise prediction method. The reader is referred to articles that focus on jet noise =-=[15,330,329]-=- for further discussion of the open issues in jet noise modeling. A computational alternative to the methods based on specific decompositions/representation of turbulence is to lump all disturbances t"
							
686	93956	94227	0	0	1	0	"stem, called GALE, is shown to develop classification solutions which are much improved on those created by existing machine learning approaches over a wide range of problems (see, for example, [76], =-=[77]-=-). The remainder of this paper will illuminate these developments further by a presentation of three of the main developments. Section 3 discusses the development of a data mining tool for commercial "
							
687	131162382	149401904	0	0	1	0	"ing in others. To make matters worse, certain combinations of options can interfere with each other with respect to performance in subtle ways (which is an instance of the feature-interaction problem =-=[7, 37]-=-). To make this problem tractable, ExaStencils will provide a capability of recommending suitable combinations of configuration option, based on a machine-learning approach. The objective is to make s"
							
688	78943099	81302723	0	0	0	1	-untranslated regions (3 0 -UTRs) of target mRNA [1]. Recent studies have shown that miRNAs are involved in multiple processes of cancer progression including cancer cell proliferation and metastasis =-=[2]-=-. Large scale profiling approaches have revealed that miRNAs are globally down-regulated in breast cancer [3]. The same study identified a set of miRNAs as being * Correspondence: hshi@georgiahealth.e
							
689	135348792	153952278	0	1	0	0	"Mu?ller, C. Schro?ter, and H.-M. Gross objective. Purpose and mechanisms of these objectives are briefly described in the following: The path following objective is based on the E? planning algorithm =-=[13]-=- that operates on a hierarchical occupancy map, which is updated online using the laser range sensor and the Kinect depth data. The planner yields a map containing the distance to a target position, w"
							
690	164665493	185903738	0	0	0	1	"f abrasives.sIntroductionsAt present, the precise and efficient machining method of hard and brittle machining materials is finessuper-hard grinding wheel (diamond grinding wheel, CBN grinding wheel)s=-=[1]-=- . However, the inherentsflaws of super-hard abrasive are exposed in the applications for many years. As diamond grindingswheel for example, the wear abrasives are hard to shed from the abrasive tool,"
							
691	83262252	86475911	0	0	1	0	"he use of domain trees [7] to expose more parallelism with several eliminators while enforcing some locality within domains. Another recent paper [1] introduces tiled versions of the Greedy algorithm =-=[12,13]-=- and of the Fibonacci scheme [16], and shows that these algorithms are asymptotically optimal. In addition, they experimentally turn out to outperform all previous algorithms for tall and skinny matri"
							
693	16466113	15370420	1	0	0	0	"makes direct use of graph transformation concepts following the double-pushout approach to typed, attributed graph transformation [11]. In this paper, we present a new tool environment, called Tiger =-=[25]-=- (Transformation-based generation of modeling environments), the first ideas of which have been presented in [10]. Tiger combines the advantages of precise VL specification techniques (offered by the "
							
695	119632448	134364412	1	0	0	0	"3: A variable resolution extraction of a quad-tree; notice the cracks in the perspective view. ure 2.11). This technique is called geomorphing and was used originally in terrain visualization systems =-=[25, 34, 75]-=-, and later on also for general meshes [51]. It requires a correspondence between the vertices of Mi+1 (higher resolution) and Mi (lower resolution) while the interpolation is performed using the conn"
							
696	73904019	75369898	1	0	0	0	"been measured for about one year in each city. The hydrogen ion concentrations were determined using research-quality methods to analyze 24hour fine particle samples collected with Harvard impactors (=-=Koutrakis et al 1988-=-). However, measurements were conducted in only two cities at a time, starting with Harriman and St Louis from December 1985 through August 1986 (9 months) and finishing with Topeka and Watertown in A"
							
698	51216004	51406745	1	0	0	0	"the segments are rather small in(a) (b) (c) (d) (e) Figure 1. Over-segmentations obtained with five algorithms: (a) Local variation [6], (b) Superpixel Lattice [22], (c) N-Cuts [32], (d) TurboPixels =-=[16]-=- and (e) the method presented in this paper. The second row zooms in on the regions of interest defined by the white rectangles. homogeneous regions resulting in unnecessary overhead in high-level app"
							
700	130391857	148262680	0	0	0	1	"lper data manipulation has been addressed in the biometric realm with robust fuzzy extractors [10] [14]. Their use of a helper data hash do not address recent helper data manipulation attacks in [25] =-=[13]-=-. If helper data is manipulated in our schemes, key recovery may fail if the corrupted bits are used to solve for the key. The adversary can conceivably learn information about what bits are stable ba"
							
701	5683914	5495140	0	0	1	0	"r, interval methods never yield false results. Interval methods are based on interval arithmetic, for which several libraries provide support. These libraries have been used successfully in practice (=-=Knuppel 1994-=-). Interval methods are about twice as expensive as traditional methods, a worthwhile price to pay for obtaining validated bounds. Hybrid Automata To model hybrid systems, we use the simple, semantica"
							
705	102033504	110901633	0	0	0	1	"ny form reserved. CURVILINEAR QUADRILATERAL PLATE ANALYSIS 453 solving relatively complex problems. Shu [2] presented a DQ multidomain approach to fluid mechanics problems with irregular domains. Lam =-=[3]-=- introduced a mapping technique to apply the DQ method to conduction, torsion, and heat flow problems with arbitrary geometries. These applications involved the second-order differential systems. Stri"
							
707	81781848	84696747	0	0	0	1	fficients (?) and VSWR pattern Figure.4.Relationship between Mismatch loss and VSWR pattern VSWR is the ratio of the maximum voltage to the minimum voltage in the standing wave on a transmission line =-=[7]-=-. Standing waves are the result of reflected RF energy. When the reflections on the line approaches zero the maximum power may be transmitted. Reflections occur at any place where the impedance of the
							
708	68903070	69902422	0	0	1	0	"target 6 10 -7 10 0 10 -6 10 -5 10 -4 10 -3 10 -2 10 -1 10 0 x Fig. 2: Values of x and Q 2 probed in the production of an object of mass M and rapidity y at the LHC, ? s = 14 TeV. most popular choice =-=[13]-=- is to use the MS-scheme to define renormalization and then to use the following approximate solution of the two loop evolution equation to define ?QCD: ?S(Q) = 1 b0 ln(Q 2 /? 2 MS ) [ 1 ? b1 ln [ln(Q"
							
710	7414380	7089550	0	0	0	1	"or secure behavior. The approach draws on years of research in software engineering analysis that has been employed in other areas of software assurance: testing, safety, reliability, and testability =-=[9, 12, 11]-=-. The approach isbased on the premise that a signi cant portion of computer security violations occur because of errors in software design and coding. Cheswick and Bellovin state (page 7, [1]): ...any"
							
711	102730369	111845372	0	0	0	1	"by using cell wall fatty acid analysis (data not shown). DISCUSSION The existence of genotypic variation among B. henselae strains has previously been demonstrated using different DNAbased techniques =-=(2, 26, 28, 29, 35, 37, 38, 47)-=-. There is little information, however, on the antigenic variation between B. henselae strains, which might be important in the development FIG. 2. Western immunoblotting of MAb Bh1E10 with Bartonella"
							
714	102538386	111586745	0	0	0	1	"sion has been extensively applied in actual learningsscenarios, and many researchers have also explored the benefits of asynchronous discussion toward learnings(Vonderwell, 2003; Bodzin & Park, 2000; =-=Henri, 1992-=-). In view of this, the combination of online discussion andsproblem-solving activities can establish a problem-solving-based online discussion learning activity. Within thesactivity, teachers can def"
							
715	90471937	95499373	0	0	0	1	"y data at temperatures higher than 240C, but a simple extrapolation of the nearly linear portion of the curve (between 200 and 240C) to older ages is consistent with closure for 40Ar in biotite [=-=Grove and Harrison, 1996-=-] having been achieved at 171 Ma, the approximate age of biotite from this sample. Modeled cooling curves show a dramatic increase in cooling rates (20"
							
716	5277809	5101112	0	0	1	0	"ection of documents conforming to one DTD in ERX model. But order is represented in ERX model by an additional order attribute. Other related work include a mapping from XML schema to an extended UML =-=[4]-=-, and a mapping from Object-Role Modeling (ORM) to XML schema [2]. Our approach is different from these approaches; we focus on the new features provided by an XML Schema - element-subelement relation"
							
718	108925517	120267402	0	0	0	1	"ked DNA (20, 22, 24, 26). Likewise, the T-DNA is integrated into the plant genome by illegitimate recombination, a mechanism in which two DNA molecules that do not share extensive homology are joined =-=(11, 18, 19, 31)-=-. It is not clear yet whether bacterial and/or plant factors mediate the integration of T-DNA. VirD2 has been shown not only to cleave the border sequence of ssDNA in vitro but also to rejoin the reac"
							
719	73685882	75108288	0	0	0	1	"ns in order to compare the differences in pigment absorption. The continuum removal technique was developed for geological applications, but can also be used for estimating biochemical concentrations =-=[65,66]-=- or vegetation differentiation [67]. A detailed description of this technique can be found in Kokaly and Clark [65]. From the continuum removed spectra we calculated the maximum band depth and the are"
							
720	94825444	101159911	0	1	0	0	"f the) atomic label of a Player move is always the same as the atomic label of the previous move (exactly in the spirit of token-reflecting strategies of [Mur01, page 122]). This extends the model of =-=[DHR96]-=- to an equivalence complete model of the general simply typed ?-calculus. Equivalently this gives a complete game model for ?1 formulas. Indeed we can distinguish three levels in full completeness res"
							
721	127103630	143780271	0	0	0	1	"tampering methods. Despite much previous research, watermark robustness is still a worthwhile topic with plenty of unknown issues. Another important watermarking property, according to Craver et al. =-=[9]-=-, is ambiguity regarding the retrieval of a watermark which is unambiguously identified by the owner. It has been shown that for a large class of watermarking methods that require the use of a referen"
							
722	107769526	118744382	0	0	1	0	") as in section 2.2, the detected line is still not the centreline. Figure 3(b) displays the resultant line overlaid on the original image (Figure 1). 2.4 Other line extraction Methods HEIPKE et. al. =-=[2]-=- use two similar but different approaches to road detection. Both methods are based upon the extraction of lines in an image of reduced resolution using the approach of [9]. The first method combines "
							
723	155161273	174369690	0	0	0	1	"aged #20 years in West Africa, including Cameroon. We used a readily available open-access database consisting of a large number of historical and contemporary geolocated and standardized survey data =-=[15]-=-, coupled with Bayesian-based geostatistical tools. Standard geostatistical methods are not able to handle large numbers of survey locations due to computational problems. Therefore, for the first tim"
							
724	77657503	79785806	0	0	0	1	"kton production and turbidity, using the composite parameter BZE: biomass B, euphotic depth Z and solar irradiance E (Cole and Cloern, 1984; Harding et al., 1986; Cole and Cloern, 1987; Keller, 1988; =-=Cole, 1989-=-; Boyer et al., 1993; MacIntyre and Cullen, 1996). This empirical model may explain a large part of the variability of phytoplankton production in many estuaries, especially at the seasonal scale. How"
							
725	154856867	174028429	0	0	0	1	"xial joint is unstable and not fixedsand is manually distractable and reducible has radicallyschanged the strategy of treatment for previously considered fixed or irreducible atlantoaxial dislocation =-=[13,14]-=-.sThe treatment protocol shifted towards "
							
727	76512357	78495455	0	0	0	1	"ffic from the behaviour of individual drivers. Since the 1950s, researches from different fields have proposed more than 100 different traffic models [4]. These models can be organized in microscopic =-=[15, 16, 17, 17, 18, 19]-=-, macroscopic [20, 21], mesoscopic (gas-kinetic) model [22]. Early microscopic traffic models were proposed by Reuschel and physicist Pipes [15]. This kind of models assumes that the acceleration of a"
							
728	77959038	80135338	0	0	1	0	"reat success to a variety of state estimation problems including object tracking (Khan et al., 2005; Hess & Fern, 2009), mobile robot localization (Fox, 2001; Jensfelt et al., 2000), people tracking (=-=Schulz et al., 2003-=-), etc. However, the worst-case complexity of these methods grows exponentially in the dimensions of the state space, it is not clear how particle filters can be applied to arbitrary, high-dimensional"
							
729	23451005	22405853	1	0	0	0	1]. Step 5 takes time O(p). Step 7 takes time O(s=p). Steps 6 and 8 take time O(1). The overall time complexity is O(s=p + Tc(s; p)). \LambdasThis theorem and the weak-CREW BSP sorting algorithm from =-=[17]-=- imply the following. Corollary 1 A distributed range tree T can be constructed on a weak-CREW BSP in a constant number of h-relations (h = \Theta (s=p)) and O(s=p) local computation time. 8s4 Paralle
							
730	74591305	76237567	0	0	1	0	"t x0 which attains the maximum of the mean curvature function of ??. Since then, many authors have constructed solutions for (1.1) with their local maximum points lying in the boundary of ?. See [2], =-=[5]-=-, [8], [12], [15], [21], [22]. Recently, Wei [23], Kowalczyk [13], Bates and Fusco [3] considered the existence of solutions for (1.1), 1991 Mathematics Subject Classification. 35J65, 35J20. Key words"
							
731	18534732	17366987	0	0	1	0	"42], and some SAT problems from the SATLIB benchmark set [28]. These graphs have between 100 and 60,000 nodes and between 400 and 1,000,000 edges. Our results compare favorably with the algorithms of =-=[6, 48]-=-, and are also comparable to those produced by heuristic functions (these are known to perform well on some graphs, but are also known to produce solutions that are arbitrarily far from optimal for ot"
							
732	35045851	35208326	0	0	0	1	"dle, and late phases of the SARS epidemic as well as viral sequences from palm civets. Their work uncovered the molecular evolution of the SARS coronavirus and the viral invasion from animal to human =-=[60,61]-=-. Another group proposed a mathematical model to estimate the evolution rate of the SARS coronavirus genome (0.16 base/ day) and the time of the last common ancestor of the sequenced SARS strains (Aug"
							
733	39785237	41343681	1	0	0	0	ven a simple corroboration-based approach outperforms the frequency-based techniques dramatically. We compute the statistical significance of our results using the onetailed Wilcoxon Signed-Rank test =-=[44]-=-. The difference between CORROB and A-FREQ and between CORROB and P-FREQ are both statistically significant with a p-value of 0.003. These results confirm that a corroboration-based approach outperfor
							
734	200326019	237260026	0	0	0	1	"ings of 8 Y complexes each. These four rings form a cylinder adjacent to the transmembrane Nups on the membrane side and layers of adaptor Nups followed by channel Nups towards the transport channel (=-=Hsia et al., 2007-=-; Debler et al., 2008). The computationally generated model provides localization volumes for each Nup and shows 8 Y complexes arranged into two separate rings, one towards the nucleocytoplasmic and t"
							
735	200325914	237259976	0	0	0	1	"2000). In many eukaryotes, notably excluding S. cerevisiae, three additional proteins, Nup37, Nup43, and ELYS/MEL-28, are considered members of the Y complex, but their architectural role is unclear (=-=Cronshaw et al., 2002-=-; Franz et al., 2007; Rasala et al., 2006). In most models, the Y complex is thought to symmetrically localize to the cytoplasmic and the nucleoplasmic face of the NPC sandwiching the Nic96 complex. T"
							
736	18738327	17563125	0	0	1	0	"ncerned with SR fusion as a separate step after image registration and before deblurring. A popular method for fusion of irregularly sampled data is surface interpolation. A triangulationbased method =-=[16]-=-, for example, first computes a Delaunay tessellation of the data points, then interpolates the data locally within each tile. The triangulation method, aiming to be an exact surface interpolator, is "
							
737	56360747	57030152	0	1	0	0	"]. In Sec. 5, we do a detailed error analysis of the generalized eigenvalue problem. In Sec. 6, the procedure of hyper-renormalization is derived as an iterative improvement of what is called HyperLS =-=[11, 12, 18]-=-. In Sec. 7, we apply our technique to ellipse fitting to demonstrate that it indeed outperforms reprojection error minimization. In Sec. 8, we conclude that hyper-renormalization is the best method a"
							
738	2214403	2092879	0	0	1	0	"ning effects as elements of a commutative idempotent algebra, which is similar to our requirement on idempotent mayeffects. Type systems supporting effect checking in object-oriented programs include =-=[11, 3, 4, 6]-=-. In contrast to most type system approaches for effect checking, our effect checking approach is flow-sensitive. Flow-sensitivity is essential for dealing with aliasing in an object-oriented programm"
							
739	2551345	2416991	0	0	1	0	"10]. Interpolation techniques require the storage of different facial positions while parameterizations lose the generality when applied to a new facial topology. Heavy physics based models like [8], =-=[9]-=- and [16], produce realistic facial expression by modelling the detailed anatomical structure and dynamics of the human face. However, because massive Anton Nijholt computation is required, these mode"
							
741	15765891	14701887	0	0	0	1	"l environment, and learning from experienced adult birds prior to release. The kaka fed on a variety of natural foods after release, and their diets were similar to those of wild populations of kaka (=-=Beggs & Wilson 1987-=-, O"
							
742	40900706	42550872	1	0	0	0	"of kNN in order to be a good candidate for adding diversity in the context of recommendation. To this end, we evaluated the accuracy of both approaches using precision and recall as accuracy metrics =-=[4]-=-. To evaluate thePercentage of baseline precision Percentage of baseline recall 60% 50% 40% 30% 20% 10% 0% 60% inv. Pearson 45% inv. Cosine 41% 43% 35% 34% 33% 26% 28% 20% 21% 5 10 25 N 50 100 200 (a"
							
743	125849364	142157398	0	0	0	1	"ocess will also allow for adaptive learning, and such learning will lead to a bettersunderstanding of SPFP which will feed into the new round of strategising (Bryson, 2004, p. 238).sAs noted by Weick =-=(1995)-=- and by Bryson (2004, p. 52), it is an action that leads to real learning.sThis feedback loop strengthens the association between the formation and implementationscomponents of the strategic planning "
							
744	59721829	60312052	1	0	0	0	"nertial particles. The dispersed phase is usually treated mathematically as a pressureless continuum. Zero-pressure gas dynamics was also used for modeling the formation and evolution of traffic jams =-=[3]-=- (F. Berthelin, P. Degond, M. Delitala, M. Rascle). 1.4. Contents of the paper. In this paper we study the problems related with the ?-shock in multidimensional system of conservation laws ?t + ? "
							
745	33804057	33728785	1	0	0	0	"n carefully designed subspaces (vector spaces) is a powerful approach for drawing large graphs quickly. Two constructions of subspaces were suggested, one is based on the highdimensional embedding of =-=[HK02]-=- and one is based on the low eigenspace of the Laplacian matrix associated with the graph. We have shown how to optimize within a subspace two cost-functions that measure layout quality. While sumbitt"
							
746	128053514	145019395	1	0	0	0	e various inferences that were supported by each of the factoids. This analysis yielded a knowledge model that was represented using the modeling formalisms associated with the CommonKADS methodology =-=[35]-=-. Part of the domain schema associated with the knowledge model is illustrated in Figure 2 using UML (Unified Modeling Language) notation [36]. It highlights some of the properties and relationships t
							
747	1818508	1718596	1	0	0	0	"fferent transfer methods, namely glossing (replacing each Tamil word by the most likely candidate from the translation tables created with the EGYPT toolkit) and Model 4 decoding (Brown et al., 1995; =-=Germann et al., 2001-=-). Figure 3 shows the output of the different systems in comparison with the human translation. We then conducted the following experiments. 3.2.1 Document Classification Task Seven human subjects wit"
							
748	144260898	163215806	1	0	0	0	"scalar product formulae in the framework of the algebraic Bethe ansatz. It is worth noticing that from the scalar product formula we can prove: 18This method was first developed for the RSOS model in =-=[99]-=- and was adapted to spin chains in [100, 101]. 19Note that by using the Hermitian conjugation properties of the Yang-Baxter generators the vector (??|)"
							
